[2022-03-31 08:03:56] local.ERROR: [Product] a0e4b3a3-c388-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (a0e4b3a3-c388-11eb-9c48-d89ef3099164, ?, ?, 963837, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] f64a682c-bfd1-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f64a682c-bfd1-11eb-9c48-d89ef3099164, 22, ?, 122633812632, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd91-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd91-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850226, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd8c-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd8c-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850227, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd90-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd90-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850228, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd8f-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd8f-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850229, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd8d-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd8d-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850230, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd8e-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd8e-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850231, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd8b-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd8b-bfd3-11eb-9c48-d89ef3099164, 22, ?, 124396850232, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c0-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c0-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850128, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c1-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c1-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850129, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c2-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c2-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850130, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c3-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c3-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850131, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c4-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c4-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850132, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c5-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c5-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850133, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669c6-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669c6-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123373850136, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669d6-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669d6-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850326, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669d7-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669d7-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850327, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669d8-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669d8-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850328, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669d9-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669d9-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850329, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669da-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669da-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850330, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669db-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669db-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850331, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669dc-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669dc-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850332, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669dd-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669dd-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850333, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669de-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669de-bfd3-11eb-9c48-d89ef3099164, 22, ?, 123435850334, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5121-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5121-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230516113XXL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa512a-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa512a-bfd2-11eb-9c48-d89ef3099164, 13, ?, 12305182193XL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5126-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5126-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230518219XXL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5124-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5124-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230516113XL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681163-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681163-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229558233XL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681164-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681164-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229558233L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681161-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681161-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229558233M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681162-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681162-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229558233S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c268115f-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c268115f-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229535197L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681160-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681160-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229535197M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c268115e-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c268115e-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229535197S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa512b-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa512b-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230518219L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5127-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5127-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230518219M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5128-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5128-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230518219S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5129-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5129-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230518219XL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5125-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5125-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230516113L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5122-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5122-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230516113M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] f4fa5123-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (f4fa5123-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1230516113S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd49-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd49-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1243296110XL, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd48-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd48-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1243296110XS, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd4c-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd4c-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1243296110L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd4a-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd4a-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1243296110M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcadd4b-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcadd4b-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1243296110S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8d5bd03c-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8d5bd03c-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1228318503XS, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8d5bd03a-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8d5bd03a-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1228318503M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8d5bd03b-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8d5bd03b-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1228318503S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcaddbe-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcaddbe-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1244368503L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcaddbd-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcaddbd-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1244368503M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcaddbc-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcaddbc-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1244368503S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 8fcaddbb-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (8fcaddbb-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1244368503XS, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681165-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681165-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229597010L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681166-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681166-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229597010M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] c2681167-bfd2-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (c2681167-bfd2-11eb-9c48-d89ef3099164, 13, ?, 1229597010S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 5a0a9392-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (5a0a9392-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1237366062XS, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 5a0a938f-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (5a0a938f-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1237366062L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 5a0a9390-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (5a0a9390-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1237366062M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 5a0a9391-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (5a0a9391-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1237366062S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669f0-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669f0-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1234848503L, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669f1-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669f1-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1234848503M, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
[2022-03-31 08:03:56] local.ERROR: [Product] 240669f2-bfd3-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (240669f2-bfd3-11eb-9c48-d89ef3099164, 13, ?, 1234848503S, 2022-03-31 08:03:47, 2022-03-31 08:03:47))  
